"state","county","total","p_f","p_m","p_wa","p_ba","p_ia","p_aa","p_na","p_h","15-19y","20-29y","30-49y","50-69y","over 70y"
"Illinois","Ogle County",51449,0.5000680285331105,0.49993197146688956,0.9594161208186748,0.012964294738478882,0.004256642500340142,0.0066279227973332815,0.0008163423973255068,0.11131411689245661,0.06338315613520185,0.05586114404555968,0.057824253143890066,0.060623141363291805,0.021827440766584383
"Illinois","Peoria County",179432,0.5126343127201392,0.4873656872798609,0.7299255428240224,0.18972647019483704,0.004608988363279683,0.042417183111150746,0.0008192518614293994,0.05408176913816933,0.06600271969325427,0.06527821124437112,0.055976637389094475,0.057425654286860764,0.02124481697801953
"Illinois","Perry County",20985,0.44112461281868,0.55887538718132,0.871670240648082,0.09802239695020253,0.0045270431260424114,0.006051941863235644,0.0007147962830593281,0.034739099356683345,0.0607100309745056,0.06828687157493447,0.0636168691922802,0.06132952108649035,0.021634500833928996
"Illinois","Piatt County",16753,0.5002686086074136,0.4997313913925864,0.9703933623828568,0.008356712230645257,0.0016713424461290516,0.005372172148271952,0.0005372172148271951,0.01617620724646332,0.06064585447382558,0.05222945144153286,0.059034202829344,0.06685369784516206,0.02047394496508088
"Illinois","Pike County",14618,0.4973320563688603,0.5026679436311396,0.9672321795047202,0.01662334108633192,0.002599534820084827,0.0032836229306334656,0.0007524969216035026,0.01648652346422219,0.058831577507182924,0.057394992475030784,0.0545218224107265,0.0690928991654125,0.026953071555616364
"Illinois","Pope County",3779,0.4847843344800212,0.5152156655199789,0.9124106906589045,0.056893358031225194,0.00793860809738026,0.004763164858428155,0.0010584810796507012,0.019846520243450648,0.06033342154008997,0.043662344535591424,0.055041016141836464,0.09341095527917438,0.039693040486901296
"Illinois","Pulaski County",5065,0.5145113524185587,0.4854886475814413,0.6574531095755183,0.2947680157946693,0.008489634748272457,0.005330700888450148,0.0007897334649555774,0.028035538005923,0.06475814412635736,0.04955577492596249,0.057847976307996055,0.08193484698914116,0.024086870681145112
"Illinois","Putnam County",5566,0.4901185770750988,0.5098814229249012,0.9701760689902983,0.007186489399928135,0.004671218109953288,0.005749191519942508,0.0010779734099892202,0.06449874236435502,0.05785123966942149,0.04689184333453108,0.04868846568451311,0.07348185411426518,0.0213798059647862
"Illinois","Randolph County",30142,0.4403821909627762,0.5596178090372238,0.8618207152810032,0.1137947050627032,0.004213389954216708,0.00567314710370911,0.0007630548735983013,0.037091102116647866,0.05328113595647269,0.06734788666976312,0.06247097073850441,0.06286908632472961,0.025612102713821246
"Illinois","Richland County",15796,0.5047480374778425,0.49525196252215753,0.9647379083312231,0.009939225120283616,0.002785515320334262,0.008609774626487718,0.0003165358318561661,0.019498607242339833,0.06153456571283869,0.055267156242086606,0.05590022790579894,0.06273740187389212,0.03203342618384401
"Illinois","Rock Island County",142909,0.5049297105150831,0.495070289484917,0.815267058057925,0.11836203458144694,0.006486645347738771,0.02674429182206859,0.00048282473462133243,0.1369332932145631,0.06449558810151915,0.059912251852577515,0.05582573525810131,0.06457955762058373,0.02325955678088854
"Illinois","St. Clair County",254796,0.5151336755679053,0.4848663244320947,0.6452573823764894,0.30603698645190663,0.00396003076971381,0.015647812367541092,0.0009654782649649132,0.04582097050189171,0.06257947534498187,0.06227727279863106,0.05896481891395469,0.058741110535487216,0.018815052041633307
"Illinois","Saline County",23320,0.5025300171526587,0.49746998284734134,0.928130360205832,0.038807890222984566,0.004974271012006861,0.00630360205831904,0.001072041166380789,0.017753001715265865,0.06419382504288165,0.05759005145797599,0.05716123499142367,0.0660377358490566,0.024571183533447685
